Device,DeviceGroup,StartDate,Duration,EndDate,Distance,StopDuration,Location,StopZoneType,IdleDuration,MaxSpeed
FO15921,Hospital ITS,"September 27, 2022",0:06,"Sep 27, 2022 8:42:12 AM",3,0:07,"1690 S 900 W, Salt Lake City, UT 84104, USA",,0:00,68
FO15921,Hospital ITS,"September 27, 2022",0:04,"Sep 27, 2022 8:53:34 AM",1,1:53,"1525 2100 S, Salt Lake City, UT 84119, USA",,0:00,42
FO15921,Hospital ITS,"September 27, 2022",0:04,"Sep 27, 2022 10:51:02 AM",2,0:03,"1690 S 900 W, Salt Lake City, UT 84104, USA",,0:00,45
FO15921,Hospital ITS,"September 27, 2022",0:10,"Sep 27, 2022 11:05:09 AM",3,1:04,"75 W 900 S, Salt Lake City, UT 84101, USA",,0:00,35
FO15921,Hospital ITS,"September 27, 2022",0:08,"Sep 27, 2022 12:18:46 PM",2,0:02,"780 1300 E, Salt Lake City, UT 84102, USA",,0:00,39
FO15921,Hospital ITS,"September 27, 2022",0:08,"Sep 27, 2022 12:29:50 PM",2,2:56,"Campus: 46 Mario Capecchi Dr, Salt Lake City, UT 84132, USA",Campus,0:01,39
FO15921,Hospital ITS,"September 27, 2022",0:10,"Sep 27, 2022 3:37:20 PM",2,0:03,"780 1300 E, Salt Lake City, UT 84102, USA",,0:00,40
FO15921,Hospital ITS,"September 27, 2022",0:08,"Sep 27, 2022 3:49:37 PM",2,17:47,"850 Richards St, Salt Lake City, UT 84101, USA",,0:00,39
FO17415,Hospital ITS,"September 27, 2022",0:14,"Sep 27, 2022 1:10:20 PM",10,0:45,"181 E 6100 S, Murray, UT 84107, USA",,0:16,76
FO17415,Hospital ITS,"September 27, 2022",0:13,"Sep 27, 2022 2:09:33 PM",10,0:30,"2294 S 1300 E, Salt Lake City, UT 84106, USA",,0:18,85
FO17415,Hospital ITS,"September 27, 2022",0:10,"Sep 27, 2022 2:50:09 PM",3,0:08,"1182 Foothill Dr, Salt Lake City, UT 84108, USA",,0:00,40
FO17415,Hospital ITS,"September 27, 2022",0:07,"Sep 27, 2022 3:06:10 PM",2,0:32,"Campus: School of Medicine, 30 N 1900 E, Salt Lake City, UT 84132, USA",Campus,0:01,47
FO17415,Hospital ITS,"September 27, 2022",0:07,"Sep 27, 2022 3:45:47 PM",1,0:04,"Campus: 501 Chipeta Way, Salt Lake City, UT 84108, USA",Campus,0:00,29
FO17415,Hospital ITS,"September 27, 2022",0:00,"Sep 27, 2022 3:50:42 PM",0,0:05,"Campus: 405 Chipeta Way, Salt Lake City, UT 84108, USA",Campus,0:05,10
