,Device,DeviceGroup,StartDate,Duration,EndDate,Distance,StopDuration,Location,StopZoneType,IdleDuration,MaxSpeed,lat,long
0,FO15921,Hospital ITS,"September 27, 2022",6,"Sep 27, 2022 8:42:12 AM",3,0:07,"1690 S 900 W, Salt Lake City, UT 84104, USA",,0,68,40.733823995447636,-111.91758895847835
1,FO15921,Hospital ITS,"September 27, 2022",4,"Sep 27, 2022 8:53:34 AM",1,1:53,"1525 2100 S, Salt Lake City, UT 84119, USA",,0,42,40.725373989308906,-111.93312699530885
2,FO15921,Hospital ITS,"September 27, 2022",4,"Sep 27, 2022 10:51:02 AM",2,0:03,"1690 S 900 W, Salt Lake City, UT 84104, USA",,0,45,40.733823995447636,-111.91758895847835
3,FO15921,Hospital ITS,"September 27, 2022",10,"Sep 27, 2022 11:05:09 AM",3,1:04,"75 W 900 S, Salt Lake City, UT 84101, USA",,0,35,40.74972274209092,-111.89319988335166
4,FO15921,Hospital ITS,"September 27, 2022",8,"Sep 27, 2022 12:18:46 PM",2,0:02,"780 1300 E, Salt Lake City, UT 84102, USA",,0,39,40.75225500424963,-111.85450097166677
5,FO15921,Hospital ITS,"September 27, 2022",8,"Sep 27, 2022 12:29:50 PM",2,2:56,"Campus: 46 Mario Capecchi Dr, Salt Lake City, UT 84132, USA",Campus,1,39,40.77060672608353,-111.83952508325011
6,FO15921,Hospital ITS,"September 27, 2022",10,"Sep 27, 2022 3:37:20 PM",2,0:03,"780 1300 E, Salt Lake City, UT 84102, USA",,0,40,40.75225500424963,-111.85450097166677
7,FO15921,Hospital ITS,"September 27, 2022",8,"Sep 27, 2022 3:49:37 PM",2,17:47,"850 Richards St, Salt Lake City, UT 84101, USA",,0,39,40.75066101772276,-111.89286402049142
8,FO17415,Hospital ITS,"September 27, 2022",14,"Sep 27, 2022 1:10:20 PM",10,0:45,"181 E 6100 S, Murray, UT 84107, USA",,16,76,40.63882769580877,-111.88581291208314
9,FO17415,Hospital ITS,"September 27, 2022",13,"Sep 27, 2022 2:09:33 PM",10,0:30,"2294 S 1300 E, Salt Lake City, UT 84106, USA",,18,85,40.7205189814421,-111.85407299169063
10,FO17415,Hospital ITS,"September 27, 2022",10,"Sep 27, 2022 2:50:09 PM",3,0:08,"1182 Foothill Dr, Salt Lake City, UT 84108, USA",,0,40,40.74265600682361,-111.82868697300026
