Device,DeviceGroup,StartDate,Duration,EndDate,Distance,StopDuration,Location,StopZoneType,IdleDuration,MaxSpeed
FO15921,Hospital ITS,28-Sep-22,0:02,9/28/2022 9:39,1,0:02,"175 E 800 S, Salt Lake City, UT 84111, USA",,0:00,33
FO15921,Hospital ITS,28-Sep-22,0:12,9/28/2022 9:54,4,0:51,"Campus: 46 Mario Capecchi Dr, Salt Lake City, UT 84132, USA",Campus,0:00,39
FO15921,Hospital ITS,28-Sep-22,0:09,9/28/2022 10:55,2,0:02,"766 1300 E, Salt Lake City, UT 84102, USA",,0:02,43
FO15921,Hospital ITS,28-Sep-22,0:21,9/28/2022 11:19,12,0:11,"790 N Cutler Dr, North Salt Lake, UT 84054, USA",,0:00,83
FO15921,Hospital ITS,28-Sep-22,0:30,9/28/2022 12:01,10,1:03,"850 Richards St, Salt Lake City, UT 84101, USA",,0:00,62
FO15921,Hospital ITS,28-Sep-22,0:02,9/28/2022 13:08,1,0:03,"175 E 800 S, Salt Lake City, UT 84111, USA",,0:00,31
FO15921,Hospital ITS,28-Sep-22,0:13,9/28/2022 13:25,3,2:44,"75 W 900 S, Salt Lake City, UT 84101, USA",,0:00,37
FO15921,Hospital ITS,28-Sep-22,0:01,9/28/2022 16:11,0,16:55,"850 Richards St, Salt Lake City, UT 84101, USA",,0:00,16
UFOU6379,"Distribution, Hospital Courier",28-Sep-22,0:05,9/28/2022 7:07,1,0:34,"Campus: School of Medicine, 30 N 1900 E, Salt Lake City, UT 84132, USA",Campus,0:00,31
UFOU6379,"Distribution, Hospital Courier",28-Sep-22,0:03,9/28/2022 7:44,0,0:26,"Campus: 65 Mario Capecchi Dr, Salt Lake City, UT 84132, USA",Campus,0:01,15
UFOU6379,"Distribution, Hospital Courier",28-Sep-22,0:03,9/28/2022 8:14,0,0:04,"Campus: School of Medicine, 30 N 1900 E, Salt Lake City, UT 84132, USA",Campus,0:00,15
UFOU6379,"Distribution, Hospital Courier",28-Sep-22,0:47,9/28/2022 9:06,22,0:07,"Farmington Health Center: University Ave @ 163 N, Farmington, UT 84025, USA",clinics,0:03,71
UFOU6379,"Distribution, Hospital Courier",28-Sep-22,0:00,9/28/2022 9:14,0,0:35,"Farmington Health Center: 165 N University Ave, Farmington, UT 84025, USA",clinics,0:00,2
UFOU6379,"Distribution, Hospital Courier",28-Sep-22,0:08,9/28/2022 9:57,1,0:04,"Uni Farmington: 225-291 S 200 W, Farmington, UT 84025, USA",Customer Zone,0:00,32
UFOU6379,"Distribution, Hospital Courier",28-Sep-22,0:09,9/28/2022 10:11,5,0:14,"Centerville Health Center: Main St @ 26 S, Centerville, UT 84014, USA",Customer Zone,0:00,70
UFOU6379,"Distribution, Hospital Courier",28-Sep-22,0:38,9/28/2022 11:05,36,0:16,"Stansbury Clinic: 220 Millpond, Stansbury Park, UT 84074, USA",clinics,0:00,75
UFOU6379,"Distribution, Hospital Courier",28-Sep-22,0:34,9/28/2022 11:55,27,0:07,"2832 S Redwood Rd, West Valley City, UT 84119, USA",,0:00,76
